gene_name,snp_count,best_pvalue,max_risk_score,max_combined_score,min_distance,gene_id,gene_rank,ensembl_id,biotype,description,uniprot_ids,omim_ids,hgnc_id,entrez_id
ZZEF1,360,3.7861699999999996e-20,0.2440354979418293,0.4375761266793159,0,ENSG00000074755,197,,,,,,,
ZBED3,13,1.188e-12,0.2439058347850421,0.4374848251254702,41801,ENSG00000132846,198,,,,,,,
ABCB10,9,3.53102e-11,0.2430957317077736,0.4364052681334707,0,ENSG00000135776,199,,,,,,,
NUP133,25,3.53102e-11,0.2430957317077736,0.4364052681334707,0,ENSG00000069248,200,,,,,,,
DDR1,853,4.98655e-12,0.2413278239030078,0.4346509735563437,0,ENSG00000204580,201,,,,,,,
CAMK2B,600,1.73301e-16,0.240469875291104,0.4342478028557862,0,ENSG00000058404,202,,,,,,,
GCK,320,1.73301e-16,0.240469875291104,0.4342478028557862,0,ENSG00000106633,203,,,,,,,
YKT6,217,1.73301e-16,0.240469875291104,0.4342478028557862,0,ENSG00000106636,204,,,,,,,
PINX1,90,6.288e-10,0.241017660648223,0.4341672889069196,0,ENSG00000254093,205,,,,,,,
SOX7,45,6.288e-10,0.241017660648223,0.4341672889069196,0,ENSG00000171056,206,,,,,,,
IFT172,216,1.297e-19,0.240144101290825,0.4332419411643817,18284,ENSG00000138002,207,,,,,,,
FNDC4,36,1.297e-19,0.240144101290825,0.4332419411643817,12828,ENSG00000115226,208,,,,,,,
GCKR,72,1.297e-19,0.240144101290825,0.4332419411643817,0,ENSG00000084734,209,,,,,,,
AC109829.1,12,1.297e-19,0.240144101290825,0.4332419411643817,7382,ENSG00000233438,210,,,,,,,
RHOBTB3,15,1.26874e-08,0.2396162833069623,0.4324889737089348,0,ENSG00000164292,211,,,,,,,
C5orf27,1,1.26874e-08,0.2396162833069623,0.4324889737089348,45596,ENSG00000236882,212,,,,,,,
GLRX,7,1.26874e-08,0.2396162833069623,0.4324889737089348,0,ENSG00000173221,213,,,,,,,
AL033381.1,1,1.71002e-08,0.2387281803060541,0.4314980131074699,142847,ENSG00000176515,214,,,,,,,
KDM2B,1564,8.88587e-12,0.2382604657351395,0.4312922700476302,0,ENSG00000089094,215,,,,,,,
ORAI1,2,1.84842e-11,0.2382604657351395,0.4312922700476302,49574,ENSG00000182500,216,,,,,,,
EMCN,9,4.12003e-08,0.2383339473004226,0.4310243286185036,0,ENSG00000164035,217,,,,,,,
SSMEM1,1,6.766e-09,0.2363971074416675,0.4289743612728821,44287,ENSG00000165120,218,,,,,,,
CPA4,12,6.766e-09,0.2363971074416675,0.4289743612728821,0,ENSG00000128510,219,,,,,,,
CPA2,8,6.766e-09,0.2363971074416675,0.4289743612728821,5697,ENSG00000158516,220,,,,,,,
CHST15,5,4.64538e-08,0.2359916793369485,0.4284409738199792,0,ENSG00000182022,221,,,,,,,
ADCY5,297,2.63027e-17,0.23441541738198,0.4276695083559054,0,ENSG00000173175,222,,,,,,,
H3F3C,1,3.6e-09,0.2348451092841797,0.4272947651218257,6139,ENSG00000188375,223,,,,,,,
HMGA2,757,3.88419e-19,0.234045700309562,0.4269136063308418,0,ENSG00000149948,224,,,,,,,
SLCO4C1,14,8.31764e-12,0.2331953596752543,0.425753692036108,3677,ENSG00000173930,225,,,,,,,
CTBP1,1566,9.012e-42,0.2298521121100868,0.4251959493417248,0,ENSG00000159692,226,,,,,,,
MAEA,2125,9.012e-42,0.2298521121100868,0.4251959493417248,0,ENSG00000090316,227,,,,,,,
ANXA9,2,4.9422e-08,0.2310266165101225,0.422973571188489,35886,ENSG00000143412,228,,,,,,,
SETDB1,15,4.9422e-08,0.2310266165101225,0.422973571188489,0,ENSG00000143379,229,,,,,,,
CERS2,14,4.9422e-08,0.2310266165101225,0.422973571188489,14452,ENSG00000143418,230,,,,,,,
AP003062.1,1,3.37956e-08,0.2303599996775576,0.422257082222482,253314,ENSG00000268936,231,,,,,,,
SLC30A8,135,3.63078e-23,0.2283913761310261,0.4216498994641033,0,ENSG00000164756,232,,,,,,,
PCDHGA4,2,1.99581e-08,0.2291356358970612,0.4209333655943155,0,ENSG00000262576,233,,,,,,,
DIAPH1,26,1.99581e-08,0.2291356358970612,0.4209333655943155,0,ENSG00000131504,234,,,,,,,
PCDHGC5,2,1.99581e-08,0.2291356358970612,0.4209333655943155,1976,ENSG00000240764,235,,,,,,,
PCDHGC4,2,1.99581e-08,0.2291356358970612,0.4209333655943155,0,ENSG00000242419,236,,,,,,,
PCDHGC3,2,1.99581e-08,0.2291356358970612,0.4209333655943155,0,ENSG00000240184,237,,,,,,,
PCDHGB7,2,1.99581e-08,0.2291356358970612,0.4209333655943155,0,ENSG00000254122,238,,,,,,,
PCDHGB6,2,1.99581e-08,0.2291356358970612,0.4209333655943155,0,ENSG00000253305,239,,,,,,,
PCDHGB4,2,1.99581e-08,0.2291356358970612,0.4209333655943155,0,ENSG00000253953,240,,,,,,,
PCDHGB3,2,1.99581e-08,0.2291356358970612,0.4209333655943155,0,ENSG00000262209,241,,,,,,,
PCDHGB2,2,1.99581e-08,0.2291356358970612,0.4209333655943155,0,ENSG00000253910,242,,,,,,,
PCDHGA5,2,1.99581e-08,0.2291356358970612,0.4209333655943155,0,ENSG00000253485,243,,,,,,,
PCDHGA9,2,1.99581e-08,0.2291356358970612,0.4209333655943155,0,ENSG00000261934,244,,,,,,,
PCDHGB1,2,1.99581e-08,0.2291356358970612,0.4209333655943155,0,ENSG00000254221,245,,,,,,,
PCDHGA3,2,1.99581e-08,0.2291356358970612,0.4209333655943155,0,ENSG00000254245,246,,,,,,,
PCDHGA6,2,1.99581e-08,0.2291356358970612,0.4209333655943155,0,ENSG00000253731,247,,,,,,,
PCDHGA8,2,1.99581e-08,0.2291356358970612,0.4209333655943155,0,ENSG00000253767,248,,,,,,,
PCDHGA1,2,1.99581e-08,0.2291356358970612,0.4209333655943155,0,ENSG00000204956,249,,,,,,,
PCDHGA2,2,1.99581e-08,0.2291356358970612,0.4209333655943155,0,ENSG00000081853,250,,,,,,,
PCDHGA10,2,1.99581e-08,0.2291356358970612,0.4209333655943155,0,ENSG00000253846,251,,,,,,,
PCDHGA11,4,1.99581e-08,0.2291356358970612,0.4209333655943155,0,ENSG00000253873,252,,,,,,,
PCDHGA12,2,1.99581e-08,0.2291356358970612,0.4209333655943155,0,ENSG00000253159,253,,,,,,,
PCDHGA7,2,1.99581e-08,0.2291356358970612,0.4209333655943155,0,ENSG00000253537,254,,,,,,,
MICA,506,1.41254e-16,0.2284594858447884,0.4208570150074574,0,ENSG00000204520,255,,,,,,,
HLA-B,3934,1.41254e-16,0.2284594858447884,0.4208570150074574,0,ENSG00000234745,256,,,,,,,
AKAP6,15,3.14239e-08,0.2273302798318848,0.4189258329981628,0,ENSG00000151320,257,,,,,,,
NUS1,6,7.573e-13,0.2268668869434936,0.4188969354936432,0,ENSG00000153989,258,,,,,,,
UMOD,99,4.851e-17,0.2247498231650335,0.4170037588926056,6490,ENSG00000169344,259,,,,,,,
GP2,113,4.851e-17,0.2247498231650335,0.4170037588926056,0,ENSG00000169347,260,,,,,,,
PDILT,18,4.851e-17,0.2247498231650335,0.4170037588926056,32608,ENSG00000169340,261,,,,,,,
WDR11,90,5.28e-17,0.2255546260883528,0.4170006241538458,165536,ENSG00000120008,262,,,,,,,
VEGFA,31,1.129e-10,0.2235341425450037,0.4147427907863968,2639,ENSG00000112715,263,,,,,,,
MANSC4,16,7.519e-21,0.2226368497114199,0.4146447933766067,22710,ENSG00000205693,264,,,,,,,
KLHL42,60,7.519e-21,0.2226368497114199,0.4146447933766067,0,ENSG00000087448,265,,,,,,,
HMG20A,610,1.179e-25,0.2224328032776238,0.4135771110006951,0,ENSG00000140382,266,,,,,,,
CTD-2021H9.3,96,9.762e-11,0.2209962854219559,0.4121364022298898,0,ENSG00000258053,267,,,,,,,
CEP68,72,9.81e-12,0.2206230202709544,0.4119089767866908,0,ENSG00000011523,268,,,,,,,
RAB1A,72,9.81e-12,0.2206230202709544,0.4119089767866908,149,ENSG00000138069,269,,,,,,,
SLC1A4,48,9.81e-12,0.2206230202709544,0.4119089767866908,25453,ENSG00000115902,270,,,,,,,
DPP10,12,3.6797e-08,0.2206774037458508,0.4115964658264607,0,ENSG00000175497,271,,,,,,,
BCL11A,72,2.29e-15,0.2181750846007603,0.4092706963103072,44938,ENSG00000119866,272,,,,,,,
ACKR2,22,2.7746e-09,0.2178258849504056,0.4085750117499307,0,ENSG00000144648,273,,,,,,,
HIGD1A,10,2.7746e-09,0.2178258849504056,0.4085750117499307,23193,ENSG00000181061,274,,,,,,,
KRBOX1,16,2.7746e-09,0.2178258849504056,0.4085750117499307,0,ENSG00000273291,275,,,,,,,
CYP8B1,4,2.7746e-09,0.2178258849504056,0.4085750117499307,26589,ENSG00000180432,276,,,,,,,
HNF1A,344,9.080299999999999e-21,0.2153094425282339,0.4057796764287649,0,ENSG00000135100,277,,,,,,,
C12orf43,369,9.080299999999999e-21,0.2153094425282339,0.4057796764287649,0,ENSG00000157895,278,,,,,,,
OASL,120,9.080299999999999e-21,0.2153094425282339,0.4057796764287649,0,ENSG00000135114,279,,,,,,,
AC079602.1,32,9.080299999999999e-21,0.2153094425282339,0.4057796764287649,4709,ENSG00000272214,280,,,,,,,
RP11-701P16.2,52,1.946e-11,0.2148582159747866,0.4054520006741703,7663,ENSG00000251139,281,,,,,,,
ACSL1,572,1.946e-11,0.2148582159747866,0.4054520006741703,0,ENSG00000151726,282,,,,,,,
NCKAP5L,55,9.86779e-10,0.213317697967336,0.4035806943215396,18480,ENSG00000167566,283,,,,,,,
BCDIN3D,22,9.86779e-10,0.213317697967336,0.4035806943215396,4101,ENSG00000186666,284,,,,,,,
FAIM2,77,9.86779e-10,0.213317697967336,0.4035806943215396,0,ENSG00000135472,285,,,,,,,
AGMO,4,4.443e-09,0.2105725816592325,0.4005706471349839,0,ENSG00000187546,286,,,,,,,
PARVB,171,3.358e-10,0.2082104100449673,0.3980876678032315,0,ENSG00000188677,287,,,,,,,
SNAPC4,95,4.5190000000000005e-26,0.20604130873006,0.396205225037237,0,ENSG00000165684,288,,,,,,,
DNLZ,116,4.5190000000000005e-26,0.20604130873006,0.396205225037237,0,ENSG00000213221,289,,,,,,,
GPSM1,280,4.5190000000000005e-26,0.20604130873006,0.396205225037237,0,ENSG00000160360,290,,,,,,,
CARD9,384,4.5190000000000005e-26,0.20604130873006,0.396205225037237,0,ENSG00000187796,291,,,,,,,
DKFZP434A062,30,4.5190000000000005e-26,0.20604130873006,0.396205225037237,15775,ENSG00000267845,292,,,,,,,
IGF1R,17,3.161e-08,0.2048581510083208,0.3941925052611287,0,ENSG00000140443,293,,,,,,,
AC093677.1,1,3.08781e-08,0.2037589945184335,0.3929838220584592,39240,ENSG00000269559,294,,,,,,,
MTHFD2L,15,3.08781e-08,0.2037589945184335,0.3929838220584592,0,ENSG00000163738,295,,,,,,,
CXCL2,3,3.08781e-08,0.2037589945184335,0.3929838220584592,19077,ENSG00000081041,296,,,,,,,
PTPDC1,3,1.151e-08,0.2023851636384547,0.3915164197642805,47044,ENSG00000158079,297,,,,,,,
CAGE1,138,3.342e-11,0.2019162728231709,0.3912646737744576,8018,ENSG00000164304,298,,,,,,,
PROX1,133,2.18776e-13,0.2002637071852775,0.3896431664614559,0,ENSG00000117707,299,,,,,,,
GRB14,469,6.673999999999999e-22,0.1996078284050267,0.3891886641105669,0,ENSG00000115290,300,,,,,,,
TRPS1,12,5.71229e-09,0.1993607795050538,0.3882194502147347,0,ENSG00000104447,301,,,,,,,
MYBL2,8,1.7943200000000002e-24,0.1980691116238337,0.3875398318191525,11888,ENSG00000101057,302,,,,,,,
GTSF1L,9,4.31221e-16,0.1980691116238337,0.3875398318191525,1386,ENSG00000124196,303,,,,,,,
WSCD2,112,7.763e-12,0.1984694468044882,0.3875150532900414,0,ENSG00000075035,304,,,,,,,
MYO5C,18,1.702e-09,0.1969726667932648,0.3856458531783315,0,ENSG00000128833,305,,,,,,,
MYO5A,9,1.702e-09,0.1969726667932648,0.3856458531783315,11740,ENSG00000197535,306,,,,,,,
AEBP1,108,7.80728e-15,0.1966336735242196,0.3854087963916882,0,ENSG00000106624,307,,,,,,,
POLD2,255,8.73776e-16,0.1966336735242196,0.3854087963916882,0,ENSG00000106628,308,,,,,,,
MYL7,175,3.19669e-16,0.1966336735242196,0.3854087963916882,0,ENSG00000106631,309,,,,,,,
AC024940.1,36,4.333e-32,0.1935035654790741,0.3841816587314813,309,ENSG00000177340,310,,,,,,,
FAM60A,550,4.333e-32,0.1935035654790741,0.3841816587314813,0,ENSG00000139146,311,,,,,,,
GNB5,12,2.11368e-08,0.1947500929524618,0.3830856802991664,49500,ENSG00000069966,312,,,,,,,
NFATC2,12,6.662e-10,0.1942518221570809,0.3826929883688142,0,ENSG00000101096,313,,,,,,,
LINC01101,8,2.827e-11,0.1920976735858149,0.3801762544672206,85811,ENSG00000268194,314,,,,,,,
LAMA4,21,4.52898e-08,0.1913620919943191,0.379322330307095,0,ENSG00000112769,315,,,,,,,
LPP,33,4.385e-13,0.1892824836617387,0.3775558697496529,129230,ENSG00000145012,316,,,,,,,
SH2B2,16,1.06782e-12,0.1885802091600669,0.3767296565551649,0,ENSG00000160999,317,,,,,,,
CUX1,256,1.06782e-12,0.1885802091600669,0.3767296565551649,0,ENSG00000257923,318,,,,,,,
PRKRIP1,72,2.45301e-17,0.1885802091600669,0.3767296565551649,5389,ENSG00000128563,319,,,,,,,
ZNF664,36,4.64408e-11,0.1868579695041118,0.3746764601917015,8990,ENSG00000179195,320,,,,,,,
FAM101A,102,6.805e-13,0.1868579695041118,0.3746764601917015,0,ENSG00000178882,321,,,,,,,
LEP,6,9.492999999999999e-54,0.1822371173809169,0.3740382336353423,29540,ENSG00000174697,322,,,,,,,
MICB,1095,2.5704e-18,0.1849885595422011,0.373172118629149,0,ENSG00000204516,323,,,,,,,
MCCD1,195,2.5704e-18,0.1849885595422011,0.373172118629149,0,ENSG00000204511,324,,,,,,,
THADA,5795,3.5970000000000004e-25,0.1853293663944807,0.3730875055094545,0,ENSG00000115970,325,,,,,,,
FTO,768,1.2300000000000001e-26,0.1834502207437101,0.3721601050784476,0,ENSG00000140718,326,,,,,,,
UBE2E2,1018,4.825e-37,0.1840879341890015,0.3714268242521978,0,ENSG00000182247,327,,,,,,,
SOCS2,22,3.75e-08,0.1826096454172077,0.3696892357465235,328,ENSG00000120833,328,,,,,,,
SNF8,1280,1.767e-13,0.1822075521225765,0.3692602031145993,0,ENSG00000159210,329,,,,,,,
GIP,59,1.816e-13,0.1822075521225765,0.3692602031145993,0,ENSG00000159224,330,,,,,,,
MAP3K13,14,1.17484e-08,0.1815529377888773,0.3685873260155381,31282,ENSG00000073803,331,,,,,,,
EHHADH,6,1.17484e-08,0.1815529377888773,0.3685873260155381,0,ENSG00000113790,332,,,,,,,
C12orf4,56,3.3335e-12,0.1798918370096482,0.3671286473316278,0,ENSG00000047621,333,,,,,,,
DYRK4,133,1.80634e-14,0.1798918370096482,0.3671286473316278,0,ENSG00000010219,334,,,,,,,
RP11-500M8.7,5,1.80634e-14,0.1798918370096482,0.3671286473316278,0,ENSG00000272921,335,,,,,,,
RAD51AP1,77,3.3335e-12,0.1798918370096482,0.3671286473316278,0,ENSG00000111247,336,,,,,,,
SCAP,12,4.13885e-10,0.1787992691974155,0.3657079981196476,0,ENSG00000114650,337,,,,,,,
ELP6,14,4.13885e-10,0.1787992691974155,0.3657079981196476,30900,ENSG00000163832,338,,,,,,,
ZNF703,9,1.681e-11,0.1777236304812003,0.364656628964961,155466,ENSG00000183779,339,,,,,,,
VPS8,25,1.03899e-08,0.1770572244076383,0.3636448567239421,0,ENSG00000156931,340,,,,,,,
C3orf70,1,1.03899e-08,0.1770572244076383,0.3636448567239421,47482,ENSG00000187068,341,,,,,,,
SBNO1,6,7.16556e-09,0.1764691682228511,0.3629493278967174,0,ENSG00000139697,342,,,,,,,
C12orf65,7,3.022e-08,0.1764691682228511,0.3629493278967174,15355,ENSG00000130921,343,,,,,,,
CDK2AP1,6,3.022e-08,0.1764691682228511,0.3629493278967174,980,ENSG00000111328,344,,,,,,,
MPHOSPH9,25,3.022e-08,0.1764691682228511,0.3629493278967174,29300,ENSG00000051825,345,,,,,,,
HHEX,248,2.0500000000000002e-70,0.1694787566906376,0.3616699271182266,0,ENSG00000152804,346,,,,,,,
SAG,225,1.976e-15,0.1738496075194968,0.3608147174825344,0,ENSG00000130561,347,,,,,,,
ATG16L1,34,1.976e-15,0.1738496075194968,0.3608147174825344,0,ENSG00000085978,348,,,,,,,
PITPNM2,18,1.988e-08,0.1733933437165751,0.3595777740238048,0,ENSG00000090975,349,,,,,,,
ZNF148,20,1.141e-08,0.1728373304254493,0.3589961595886161,22485,ENSG00000163848,350,,,,,,,
SLC12A8,34,1.141e-08,0.1728373304254493,0.3589961595886161,0,ENSG00000221955,351,,,,,,,
PLCB2,180,1.7410000000000002e-20,0.1708000215053843,0.3579849563926223,15736,ENSG00000137841,352,,,,,,,
RP11-133K1.2,12,1.7410000000000002e-20,0.1708000215053843,0.3579849563926223,47275,ENSG00000259288,353,,,,,,,
PAK6,72,1.7410000000000002e-20,0.1708000215053843,0.3579849563926223,46184,ENSG00000137843,354,,,,,,,
DISP2,36,1.7410000000000002e-20,0.1708000215053843,0.3579849563926223,14018,ENSG00000140323,355,,,,,,,
PHGR1,12,1.7410000000000002e-20,0.1708000215053843,0.3579849563926223,6816,ENSG00000233041,356,,,,,,,
ANKRD63,8,1.7410000000000002e-20,0.1708000215053843,0.3579849563926223,41085,ENSG00000230778,357,,,,,,,
C15orf52,84,1.7410000000000002e-20,0.1708000215053843,0.3579849563926223,0,ENSG00000188549,358,,,,,,,
HLA-C,2584,2.08257e-18,0.1707993714711903,0.3575794542606182,0,ENSG00000204525,359,,,,,,,
NOTCH2,235,1.32526e-12,0.1710469795841471,0.3571488154685725,0,ENSG00000134250,360,,,,,,,
E2F3,40,4.445e-82,0.1627042564693875,0.3554916256770345,0,ENSG00000112242,361,,,,,,,
TMEM154,135,3.2610000000000004e-26,0.1695015342995194,0.3554753865738115,18921,ENSG00000170006,362,,,,,,,
RNF6,24,2.0280000000000002e-20,0.1694342757096891,0.3553105748074684,0,ENSG00000127870,363,,,,,,,
PRC1,1653,1.061e-22,0.1689229995216844,0.3547193603223346,0,ENSG00000198901,364,,,,,,,
RCCD1,783,1.061e-22,0.1689229995216844,0.3547193603223346,0,ENSG00000166965,365,,,,,,,
HDDC3,372,1.061e-22,0.1689229995216844,0.3547193603223346,1662,ENSG00000184508,366,,,,,,,
VPS33B,498,1.061e-22,0.1689229995216844,0.3547193603223346,0,ENSG00000184056,367,,,,,,,
UNC45A,738,1.061e-22,0.1689229995216844,0.3547193603223346,0,ENSG00000140553,368,,,,,,,
SPRY2,45,1.3150000000000002e-31,0.1665434627800627,0.3544588564459308,161213,ENSG00000136158,369,,,,,,,
BTAF1,332,3.288e-17,0.1652621000825039,0.3509362827713862,0,ENSG00000095564,370,,,,,,,
RNF39,20,2.93562e-15,0.1649359832190321,0.3502777281610957,2334,ENSG00000204618,371,,,,,,,
ZNRD1,60,2.93562e-15,0.1649359832190321,0.3502777281610957,13312,ENSG00000066379,372,,,,,,,
PPP1R11,60,2.93562e-15,0.1649359832190321,0.3502777281610957,7888,ENSG00000204619,373,,,,,,,
CTTNBP2,124,2.704e-10,0.1643704437683179,0.3498467422642802,0,ENSG00000077063,374,,,,,,,
TRIM10,3,1.837e-10,0.1639036445445312,0.3493504702603873,22809,ENSG00000204613,375,,,,,,,
TRIM40,28,1.837e-10,0.1639036445445312,0.3493504702603873,26656,ENSG00000204614,376,,,,,,,
TRIM31,72,2.93562e-15,0.1639036445445312,0.3493504702603873,0,ENSG00000204616,377,,,,,,,
RAD51C,13,2.464e-08,0.163600069050158,0.3487946986740805,12350,ENSG00000108384,378,,,,,,,
TEX14,5,2.464e-08,0.163600069050158,0.3487946986740805,0,ENSG00000121101,379,,,,,,,
CSRNP3,5,1.57743e-08,0.1626174538077977,0.3477334013599254,0,ENSG00000178662,380,,,,,,,
VAV3,26,3.02336e-08,0.1619954774170064,0.3470194117041631,0,ENSG00000134215,381,,,,,,,
RPH3A,29,4.029e-09,0.1611743197509375,0.3462068278218185,0,ENSG00000089169,382,,,,,,,
SIN3A,308,1.81e-11,0.1607937764524199,0.3459784587818494,0,ENSG00000169375,383,,,,,,,
PTPN9,200,1.81e-11,0.1607937764524199,0.3459784587818494,0,ENSG00000169410,384,,,,,,,
ANK1,768,5.2489999999999996e-27,0.160018575365881,0.3453552035497402,0,ENSG00000029534,385,,,,,,,
NKX6-3,118,5.2489999999999996e-27,0.160018575365881,0.3453552035497402,0,ENSG00000165066,386,,,,,,,
AGPAT6,561,5.2489999999999996e-27,0.160018575365881,0.3453552035497402,0,ENSG00000158669,387,,,,,,,
HAAO,1,2.52005e-08,0.1589078989704141,0.3436294293846841,177488,ENSG00000162882,388,,,,,,,
GTF2I,152,5.05801e-09,0.1585827187279652,0.3433441930909457,0,ENSG00000077809,389,,,,,,,
BTN3A2,16,8.13767e-12,0.1575824370799711,0.3425343064908293,42512,ENSG00000186470,390,,,,,,,
HIST1H2BI,2,8.13767e-12,0.1575824370799711,0.3425343064908293,38539,ENSG00000168242,391,,,,,,,
HIST1H4H,4,8.13767e-12,0.1575824370799711,0.3425343064908293,37113,ENSG00000158406,392,,,,,,,
ANKDD1B,12,4.755e-12,0.155897906614596,0.3407046057227789,0,ENSG00000189045,393,,,,,,,
POC5,30,4.755e-12,0.155897906614596,0.3407046057227789,0,ENSG00000152359,394,,,,,,,
MUC6,20,2.2208e-10,0.1557223523405457,0.3403374695599424,0,ENSG00000184956,395,,,,,,,
AP2A2,132,2.2208e-10,0.1557223523405457,0.3403374695599424,0,ENSG00000183020,396,,,,,,,
PTPN22,36,1.7002e-11,0.1549452399763171,0.3395984410686139,0,ENSG00000134242,397,,,,,,,
RSBN1,9,1.7002e-11,0.1549452399763171,0.3395984410686139,0,ENSG00000081019,398,,,,,,,
BCL2L15,15,1.7002e-11,0.1549452399763171,0.3395984410686139,9124,ENSG00000188761,399,,,,,,,
GPC5,33,7.236e-18,0.154311028195428,0.3395270139878307,87849,ENSG00000179399,400,,,,,,,
PTPRG,18,1.02565e-08,0.1550527444884197,0.3394270801380837,0,ENSG00000144724,401,,,,,,,
ACAD10,110,4.489e-11,0.1547052407813118,0.3392477633783862,0,ENSG00000111271,402,,,,,,,
MAPKAPK5,30,1.151e-10,0.1547052407813118,0.3392477633783862,3581,ENSG00000089022,403,,,,,,,
RP11-162P23.2,3,4.489e-11,0.1547052407813118,0.3392477633783862,797,ENSG00000257767,404,,,,,,,
ALDH2,12,4.489e-11,0.1547052407813118,0.3392477633783862,0,ENSG00000111275,405,,,,,,,
TSPAN8,602,1.23626e-10,0.1548554651730158,0.3392349947879056,0,ENSG00000127324,406,,,,,,,
SPON2,126,1.8779999999999999e-41,0.151297373311529,0.3386111211542897,17465,ENSG00000159674,407,,,,,,,
SPPL3,104,8.833000000000001e-20,0.1526675055413833,0.3376045098686294,0,ENSG00000157837,408,,,,,,,
MRPS35,25,8.88587e-12,0.1532313539031984,0.3375923437385676,0,ENSG00000061794,409,,,,,,,
JAZF1,600,5.85464e-23,0.1517823286030932,0.3373115605714909,0,ENSG00000153814,410,,,,,,,
LAMA1,40,4.876e-09,0.1527054183764615,0.3368099527392232,0,ENSG00000101680,411,,,,,,,
NUDT3,44,7.283e-17,0.1515549678092005,0.3363818322996814,3211,ENSG00000272325,412,,,,,,,
HMGA1,264,7.283e-17,0.1515549678092005,0.3363818322996814,0,ENSG00000137309,413,,,,,,,
C6orf1,455,7.283e-17,0.1515549678092005,0.3363818322996814,0,ENSG00000186577,414,,,,,,,
NPBWR2,8,2.80964e-09,0.1516328129313343,0.3357216549256693,19243,ENSG00000125522,415,,,,,,,
RGS19,20,2.80964e-09,0.1516328129313343,0.3357216549256693,136,ENSG00000171700,416,,,,,,,
ZNF512B,15,2.80964e-09,0.1516328129313343,0.3357216549256693,31346,ENSG00000196700,417,,,,,,,
C20orf201,5,2.80964e-09,0.1516328129313343,0.3357216549256693,0,ENSG00000171695,418,,,,,,,
OPRL1,24,2.80964e-09,0.1516328129313343,0.3357216549256693,0,ENSG00000125510,419,,,,,,,
SOX18,5,2.80964e-09,0.1516328129313343,0.3357216549256693,30465,ENSG00000203883,420,,,,,,,
TCEA2,80,2.80964e-09,0.1516328129313343,0.3357216549256693,7759,ENSG00000171703,421,,,,,,,
CUTA,42,5.98412e-10,0.1513653089287938,0.3354615051630241,0,ENSG00000112514,422,,,,,,,
ZBTB9,3,5.98412e-10,0.1513653089287938,0.3354615051630241,6380,ENSG00000213588,423,,,,,,,
PHF1,30,5.98412e-10,0.1513653089287938,0.3354615051630241,243,ENSG00000112511,424,,,,,,,
KIFC1,12,6.95264e-10,0.1513653089287938,0.3354615051630241,3795,ENSG00000237649,425,,,,,,,
SYNGAP1,32,5.98412e-10,0.1513653089287938,0.3354615051630241,3374,ENSG00000197283,426,,,,,,,
IMMP2L,1,3.5e-08,0.1504615781970137,0.3343184575243431,477706,ENSG00000184903,427,,,,,,,
ZNF493,7,2.042e-13,0.1495658428102125,0.3338778983364153,39300,ENSG00000196268,428,,,,,,,
CTD-2561J22.3,1,2.042e-13,0.1495658428102125,0.3338778983364153,0,ENSG00000269237,429,,,,,,,
ZNF429,7,2.042e-13,0.1495658428102125,0.3338778983364153,29809,ENSG00000197013,430,,,,,,,
ETS1,88,2.47514e-10,0.1499714474616134,0.3338419152396724,0,ENSG00000134954,431,,,,,,,
ZNF208,4,6.949e-23,0.1480794125194982,0.3332283387704738,15054,ENSG00000160321,432,,,,,,,
IKZF2,11,5.355e-10,0.1492051381925213,0.3331247312843751,177326,ENSG00000030419,433,,,,,,,
AC112693.2,5,1.407e-11,0.1489783024548884,0.3330004264426022,72373,ENSG00000269360,434,,,,,,,
CAST,828,3.116e-09,0.1488520936734275,0.3326564834568331,0,ENSG00000153113,435,,,,,,,
MLN,9,4.20824e-11,0.1475513765712554,0.3314196709021161,32881,ENSG00000096395,436,,,,,,,
ETV1,210,2.255e-15,0.145566616636545,0.32964294202274,40926,ENSG00000006468,437,,,,,,,
TMEM160,8,2.44906e-09,0.1455645154354732,0.3290490377482438,12755,ENSG00000130748,438,,,,,,,
SAE1,72,2.44906e-09,0.1455645154354732,0.3290490377482438,34175,ENSG00000142230,439,,,,,,,
NPAS1,64,2.44906e-09,0.1455645154354732,0.3290490377482438,15610,ENSG00000130751,440,,,,,,,
ZC3H4,40,2.44906e-09,0.1455645154354732,0.3290490377482438,0,ENSG00000130749,441,,,,,,,
GRM4,99,2.072e-15,0.1449772911751566,0.3284134216818029,39685,ENSG00000124493,442,,,,,,,
PHTF1,36,2.87144e-11,0.1446888563417663,0.3280410273313248,0,ENSG00000116793,443,,,,,,,
PSTPIP1,399,3.23884e-10,0.1444811009458939,0.3277566022112855,0,ENSG00000140368,444,,,,,,,
TSPAN3,196,3.023e-11,0.1444811009458939,0.3277566022112855,9954,ENSG00000140391,445,,,,,,,
KANK1,9,3.25687e-08,0.1442625658381635,0.3274990170985469,0,ENSG00000107104,446,,,,,,,
RP11-93B14.6,4,4.68576e-09,0.1429278113471792,0.3261176967582204,0,ENSG00000167046,447,,,,,,,
SLCO4A1,36,4.68576e-09,0.1429278113471792,0.3261176967582204,0,ENSG00000101187,448,,,,,,,
AC022431.2,32,6.064e-10,0.1425440553879047,0.3257823010639504,0,ENSG00000225940,449,,,,,,,
CTC-236F12.4,40,6.85488e-10,0.1425440553879047,0.3257823010639504,18546,ENSG00000248727,450,,,,,,,
